10pct_X,10pct_Y,10pct_Radius,10pct_Radius
-654.8191727,235.0966135,1,1
-367.4642103,-186.168936,1,1
-160.9664209,46.82267575,1,1
339.0038229,29.31235296,1,1
-101.3413658,54.720278,1,1
-227.0441406,157.5702295,1,1
202.6442086,-484.2375546,1,1
81.24172538,275.5045294,1,1
-38.65211239,-416.5576423,1,1
4.533338714,305.6098787,1,1
508.1313614,132.5338576,1,1
-231.5191973,416.0108695,1,1
391.1123145,-577.7095474,1,1
286.8631921,198.9625955,1,1
273.7113073,156.7530236,1,1
-390.3072152,-111.2935873,1,1
41.22313184,62.81157916,1,1
-28.1906577,60.60917798,1,1
312.5210505,-112.5616116,1,1
220.672091,-15.17164842,1,1
-275.1375632,-269.8447426,1,1
-217.2100485,65.68580133,1,1
-562.3778886,253.3251872,1,1
-344.6632478,551.817039,1,1
226.1358667,-648.6981756,1,1
-245.0394622,-754.2100193,1,1
26.77868466,-359.0612948,1,1
224.1855325,-352.8902023,1,1
-341.4547541,15.73759769,1,1
-74.16588385,164.4114235,1,1
511.2701576,39.58835942,1,1
-7.141097132,-123.392845,1,1
542.3405465,392.178566,1,1
-462.1118251,400.5572299,1,1
96.80989454,-63.97463618,1,1
294.7279294,52.07523776,1,1
110.5459144,10.68457643,1,1
652.0399548,50.39357041,1,1
-294.1774914,316.7438334,1,1
-413.4235314,-405.7302106,1,1
159.938715,-505.0015529,1,1
-5.158614947,-352.5557919,1,1
4.720744695,247.3780069,1,1
-214.5802846,36.52833068,1,1
-392.4155903,-111.7846746,1,1
-175.1508298,108.053679,1,1
175.5942812,-220.0040882,1,1
747.068233,322.4967946,1,1
641.0628509,187.783232,1,1
-318.2353908,394.4041891,1,1
-440.0198925,44.79875099,1,1
-86.52618947,146.0467518,1,1
-306.9005674,-294.97634,1,1
682.2404517,332.6750403,1,1
249.337557,-122.6820603,1,1
79.18532452,-84.75975697,1,1
-182.5394475,119.5211967,1,1
420.2074374,-498.4405308,1,1
357.2240586,-366.8881676,1,1
-576.6616001,364.0886705,1,1
-133.9118257,157.6193095,1,1
-55.19101881,170.9012599,1,1
161.945927,-250.9341741,1,1
158.746343,-308.9408026,1,1
-560.2521917,-539.329554,1,1
-175.9305586,-174.3751424,1,1
531.1131661,-84.81073673,1,1
573.946188,-409.5099983,1,1
56.55586815,-416.7195314,1,1
491.8018876,-180.5289867,1,1
214.5179867,224.0334746,1,1
230.2844474,433.5286761,1,1
-266.4438453,31.27022386,1,1
-329.326745,-254.2280252,1,1
170.0056869,-516.402853,1,1
786.9837056,100.6178489,1,1
409.2240659,-482.5051188,1,1
89.24280141,511.0602342,1,1
-528.4782809,-601.3278207,1,1
-675.7386504,-425.8465554,1,1
-153.4362177,-259.0683068,1,1
475.1409165,-255.5687503,1,1
-173.0035025,385.4479014,1,1
17.25096726,295.8049097,1,1
463.1817547,390.1727247,1,1
156.6581065,538.7913354,1,1
776.510613,-145.6147247,1,1
-171.4631385,-102.045342,1,1
203.2560838,464.7234084,1,1
-276.2413495,236.6449695,1,1
-272.7184727,384.9151613,1,1
349.8126668,-524.1283084,1,1
-445.6405491,203.9080956,1,1
447.205683,-598.7127162,1,1
154.0655442,-449.7064998,1,1
-338.3975556,86.58505136,1,1
505.6263877,-124.3827791,1,1
-16.8610535,-698.2415086,1,1
80.10330482,85.61349881,1,1
349.641304,-105.5627632,1,1
561.3343428,-558.5798244,1,1
37.27514001,35.27171664,1,1
70.83724729,124.030024,1,1
179.2582818,-330.1842871,1,1
644.927483,222.0183249,1,1
-59.17070701,-243.3214597,1,1
6.679188063,526.5054544,1,1
-300.8290161,-120.5754947,1,1
318.0393089,-316.5800542,1,1
-688.1860171,187.0884468,1,1
-224.37387,251.0467898,1,1
-714.2648384,239.1145652,1,1
370.8597724,-39.80472651,1,1
-341.2585061,-208.0904997,1,1
-471.6056,471.3261664,1,1
375.4188202,-533.4554427,1,1
-205.357,482.7539858,1,1
-37.87352068,562.9440705,1,1
-92.94199927,628.9386729,1,1
-109.9488868,31.34291773,1,1
-133.5202098,-17.9867128,1,1
-166.1782966,-336.2769967,1,1
-190.6907824,325.4361754,1,1
255.3709538,-265.6235898,1,1
-286.0315363,-129.0685653,1,1
357.7779885,327.8882456,1,1
89.66985344,-300.9423075,1,1
282.6318126,233.7462192,1,1
545.4941472,-188.1623823,1,1
86.353598,-369.0287746,1,1
306.2627027,-419.633942,1,1
197.0861588,150.83863,1,1
267.2221937,426.2462052,1,1
-478.307979,492.4954667,1,1
-435.7888446,33.04848943,1,1
-164.2193874,595.0676535,1,1
324.2181784,-104.0701135,1,1
-331.3876715,-350.8900443,1,1
231.7954407,-210.8601426,1,1
217.7492089,-387.1976084,1,1
-571.9949777,331.4712997,1,1
-411.9598496,-174.5095545,1,1
777.3297964,-443.9327917,1,1
66.14020071,-82.60920461,1,1
369.6354929,491.3007849,1,1
169.3680773,-117.5627235,1,1
240.1297557,-216.8616426,1,1
361.1857948,-307.2727158,1,1
-448.093072,356.7344453,1,1
-241.0223726,-69.94760922,1,1
-130.6589948,80.84947326,1,1
584.7475577,286.3703275,1,1
5.723219094,-200.107358,1,1
-527.4841351,536.8503532,1,1
155.8106725,-82.11101587,1,1
298.5682411,-198.6984162,1,1
220.0454669,-104.9926794,1,1
-432.5529863,234.2398888,1,1
-377.9430353,-199.3465301,1,1
-275.7723402,212.0717341,1,1
-277.6981886,-243.6715882,1,1
-330.827595,208.221553,1,1
677.4590404,441.1823372,1,1
740.1161796,-242.2423355,1,1
387.4267999,-46.52133094,1,1
34.24346384,-403.9342933,1,1
417.3340327,157.7666984,1,1
273.4315334,-109.2748475,1,1
-369.3860769,-702.9489356,1,1
203.0122183,0.951434675,1,1
395.7177805,-232.3849251,1,1
796.8663768,-148.5051134,1,1
-129.62743,-397.4421555,1,1
-170.7851182,-277.2996169,1,1
-520.5335827,20.88570246,1,1
219.2489716,250.1920931,1,1
137.1847484,410.9515475,1,1
-247.3325762,216.6238,1,1
-112.7787698,454.5599427,1,1
536.8455874,95.32465881,1,1
-457.8235207,-299.1016648,1,1
-531.4560717,84.95301749,1,1
-361.6789024,452.6920866,1,1
-123.8015759,-237.8434027,1,1
10.57232864,22.79009907,1,1
67.57660998,-6.469026409,1,1
-443.8339456,650.143466,1,1
-9.025317717,-246.999091,1,1
-175.652233,-263.8412989,1,1
-174.8436544,551.5192181,1,1
94.49577659,-168.4846346,1,1
337.2326098,629.6765051,1,1
454.6265558,380.9665058,1,1
-488.3114029,-350.2689759,1,1
-193.7280017,305.2862443,1,1
158.697082,-520.1247072,1,1
-163.2856592,-157.8280071,1,1
-292.8916324,529.0824492,1,1
403.3569776,62.27731932,1,1
-94.73537888,157.7295227,1,1
11.61046008,-245.6167491,1,1
359.2103445,-560.2558414,1,1
-400.851417,-127.4176604,1,1
109.3669067,-635.5607489,1,1
40.33404423,138.7447234,1,1
548.1200643,-415.4562901,1,1
-285.3781229,299.2909498,1,1
-110.8826683,-708.7124666,1,1
-342.4493188,-356.0123639,1,1
-338.4028758,191.700708,1,1
180.8365559,46.90390843,1,1
-14.16956178,374.8716726,1,1
-294.9248006,-8.759859583,1,1
136.0239583,-43.91854612,1,1
93.84902979,-464.2399287,1,1
-398.828995,-165.7782932,1,1
342.4900976,-102.4084957,1,1
335.4234657,478.5625933,1,1
236.9987544,-155.0099525,1,1
570.0440085,-526.4661637,1,1
379.2128251,269.1088633,1,1
375.0314235,292.8568335,1,1
-134.0485429,212.7503205,1,1
133.986759,355.6120566,1,1
75.74395258,-4.118594129,1,1
