X,Y,Radius,Color,Z,X_old,Y_old,Z_old
-919.8752049,130.4933912,1,1,940.1784804,-0.919875205,0.130493391,0.94017848
-321.3271391,-1765.002564,1,1,467.9866937,-0.321327139,-1.765002564,0.467986694
2347.411788,-337.5831123,1,1,340.3007482,2.347411788,-0.337583112,0.340300748
2020.399647,-47.83291587,1,1,292.8251733,2.020399647,-0.047832916,0.292825173
-384.2863406,1640.652701,1,1,604.0453525,-0.384286341,1.640652701,0.604045352
1409.806356,-1993.550591,1,1,295.0637902,1.409806356,-1.993550591,0.29506379
628.9550202,1017.223906,1,1,684.0781669,0.62895502,1.017223906,0.684078167
33.81341446,903.4486308,1,1,967.4158426,0.033813414,0.903448631,0.967415843
-1621.717175,-1906.911366,1,1,236.8752979,-1.621717175,-1.906911366,0.236875298
-832.0332309,-1533.366165,1,1,531.5247075,-0.832033231,-1.533366165,0.531524707
200.1792703,703.5876273,1,1,1062.933733,0.20017927,0.703587627,1.062933733
707.1340917,2092.8222,1,1,340.4615546,0.707134092,2.0928222,0.340461555
-860.0645544,150.5982015,1,1,997.5621657,-0.860064554,0.150598202,0.997562166
2581.036771,163.3985927,1,1,148.5487333,2.581036771,0.163398593,0.148548733
-2269.082921,1779.897813,1,1,95.89335962,-2.269082921,1.779897813,0.09589336
-1346.051113,583.9021982,1,1,719.2875657,-1.346051113,0.583902198,0.719287566
1019.936245,-2159.204179,1,1,332.2475364,1.019936245,-2.159204179,0.332247536
801.4699853,-1222.717661,1,1,718.7432201,0.801469985,-1.222717661,0.71874322
-349.3971073,232.6491641,1,1,958.9273794,-0.349397107,0.232649164,0.958927379
631.0484042,118.8959431,1,1,1041.6204,0.631048404,0.118895943,1.0416204
339.0725803,105.4358638,1,1,973.3009181,0.33907258,0.105435864,0.973300918
186.7380238,-393.3142124,1,1,959.1285675,0.186738024,-0.393314212,0.959128567
1989.986274,-1008.627113,1,1,347.2611833,1.989986274,-1.008627113,0.347261183
-1306.461809,-248.4071431,1,1,684.3902352,-1.306461809,-0.248407143,0.684390235
735.5482173,-1590.876614,1,1,521.0937429,0.735548217,-1.590876614,0.521093743
-1188.205046,2093.130633,1,1,320.8854311,-1.188205046,2.093130633,0.320885431
-1377.31478,-512.0343741,1,1,719.4774369,-1.37731478,-0.512034374,0.719477437
995.7101982,1568.971384,1,1,391.6394848,0.995710198,1.568971384,0.391639485
1354.419725,-1249.714831,1,1,408.6722063,1.354419725,-1.249714831,0.408672206
-727.718651,-1629.038776,1,1,480.5151962,-0.727718651,-1.629038776,0.480515196
-1826.564921,1210.684972,1,1,334.2021363,-1.826564921,1.210684972,0.334202136
-1341.015654,12.88557343,1,1,687.4724065,-1.341015654,0.012885573,0.687472406
926.4327417,-1766.210086,1,1,297.5072227,0.926432742,-1.766210086,0.297507223
957.5902355,2206.694137,1,1,321.7658456,0.957590236,2.206694137,0.321765846
-1331.667724,571.3548957,1,1,716.9271248,-1.331667724,0.571354896,0.716927125
781.0718108,-2534.163789,1,1,102.6647728,0.781071811,-2.534163789,0.102664773
1474.235217,-1117.287402,1,1,400.9098209,1.474235217,-1.117287402,0.400909821
88.0670374,-975.0158657,1,1,881.1425217,0.088067037,-0.975015866,0.881142522
-1389.997386,20.52189783,1,1,702.3619232,-1.389997386,0.020521898,0.702361923
-511.3777259,-1274.624241,1,1,697.2150013,-0.511377726,-1.274624241,0.697215001
-1616.524855,-2154.904836,1,1,58.83259507,-1.616524855,-2.154904836,0.058832595
37.85135184,-726.9076278,1,1,1062.892324,0.037851352,-0.726907628,1.062892324
1470.873202,2027.675962,1,1,258.2371766,1.470873202,2.027675962,0.258237177
-1338.447639,-82.52912498,1,1,687.447365,-1.338447639,-0.082529125,0.687447365
-1323.264714,-82.41128887,1,1,683.3411861,-1.323264714,-0.082411289,0.683341186
-688.7157451,428.7566842,1,1,1042.153862,-0.688715745,0.428756684,1.042153862
824.2455205,534.4282176,1,1,877.0635579,0.824245521,0.534428218,0.877063558
1380.505066,196.5031196,1,1,703.6423657,1.380505066,0.19650312,0.703642366
-670.6128417,-1024.502291,1,1,676.5251177,-0.670612842,-1.024502291,0.676525118
968.3745662,2186.5651,1,1,330.2785881,0.968374566,2.1865651,0.330278588
880.9990468,-219.4715097,1,1,963.3761792,0.880999047,-0.21947151,0.963376179
188.7892452,-1751.771559,1,1,509.2046277,0.188789245,-1.751771559,0.509204628
-1139.300852,1933.813544,1,1,350.7149078,-1.139300852,1.933813544,0.350714908
818.393575,-232.1515967,1,1,1016.40302,0.818393575,-0.232151597,1.01640302
-1067.567726,1124.513893,1,1,708.8103784,-1.067567726,1.124513893,0.708810378
967.1437545,966.0803143,1,1,695.2391476,0.967143755,0.966080314,0.695239148
1010.446061,44.8336654,1,1,841.7890305,1.010446061,0.044833665,0.841789031
2206.648626,-1141.062023,1,1,256.1833496,2.206648626,-1.141062023,0.25618335
237.7859236,221.4808862,1,1,988.1620801,0.237785924,0.221480886,0.98816208
374.2645633,-489.8595017,1,1,1029.724206,0.374264563,-0.489859502,1.029724206
2660.025149,-1339.444855,1,1,132.7404079,2.660025149,-1.339444855,0.132740408
-1055.524176,845.6003201,1,1,690.806566,-1.055524176,0.84560032,0.690806566
1498.66892,-1390.802925,1,1,292.1837069,1.49866892,-1.390802925,0.292183707
244.9290495,-1018.94649,1,1,799.1306632,0.24492905,-1.01894649,0.799130663
2555.702639,13.92796429,1,1,180.8223931,2.555702639,0.013927964,0.180822393
-1676.134177,673.9103163,1,1,452.2227515,-1.676134177,0.673910316,0.452222752
-1613.703569,-1534.578062,1,1,346.0833973,-1.613703569,-1.534578062,0.346083397
-692.5024146,941.2709627,1,1,696.0254623,-0.692502415,0.941270963,0.696025462
2196.430816,-1372.266559,1,1,144.7701409,2.196430816,-1.372266559,0.144770141
272.9417452,-2289.90218,1,1,361.3508276,0.272941745,-2.28990218,0.361350828
237.7690537,-267.76691,1,1,972.0898442,0.237769054,-0.26776691,0.972089844
26.81552075,374.49133,1,1,966.1218921,0.026815521,0.37449133,0.966121892
2845.694822,-938.4042144,1,1,145.0721843,2.845694822,-0.938404214,0.145072184
64.88586305,1509.504286,1,1,718.6682555,0.064885863,1.509504286,0.718668256
-1629.807819,-42.73784261,1,1,659.0889199,-1.629807819,-0.042737843,0.65908892
-669.4626538,946.824144,1,1,700.9499515,-0.669462654,0.946824144,0.700949951
1808.414258,411.2096513,1,1,395.6269293,1.808414258,0.411209651,0.395626929
-1150.219424,-852.4987838,1,1,713.5414656,-1.150219424,-0.852498784,0.713541466
-122.4916953,1522.593063,1,1,715.6996977,-0.122491695,1.522593063,0.715699698
-136.425063,-408.5687753,1,1,958.9237536,-0.136425063,-0.408568775,0.958923754
1334.896903,1481.00096,1,1,297.6688258,1.334896903,1.48100096,0.297668826
-814.2566171,2097.559177,1,1,351.9574793,-0.814256617,2.097559177,0.351957479
-1771.01217,-1656.231605,1,1,308.3648742,-1.77101217,-1.656231605,0.308364874
-154.007859,-1473.36697,1,1,720.1366332,-0.154007859,-1.47336697,0.720136633
-2416.69158,755.1306122,1,1,206.5063895,-2.41669158,0.755130612,0.20650639
1127.274051,2675.195265,1,1,81.01015669,1.127274051,2.675195265,0.081010157
61.94893395,-768.0823496,1,1,1058.052452,0.061948934,-0.76808235,1.058052452
-2190.430439,1944.807474,1,1,148.9098836,-2.190430439,1.944807474,0.148909884
-1401.726064,-1187.822136,1,1,415.0697027,-1.401726064,-1.187822136,0.415069703
537.7293375,113.5277314,1,1,995.3205946,0.537729338,0.113527731,0.995320595
-1071.289084,1313.665509,1,1,592.5016379,-1.071289084,1.313665509,0.592501638
-2560.280363,-1448.363565,1,1,107.0259527,-2.560280363,-1.448363565,0.107025953
