X,Y,Radius,Color
102.3895204,146.7859208,1,1
-171.6074109,-204.2639321,1,1
94.55727224,-117.3093848,1,1
145.7730554,140.8755494,1,1
217.0404106,101.2175122,1,1
-196.247229,63.36124483,1,1
102.9993469,149.2474101,1,1
115.9785612,-86.3416682,1,1
-169.1260367,-118.2610005,1,1
169.8313908,210.972848,1,1
191.8313875,-64.02416475,1,1
-140.1392887,-162.5695558,1,1
-168.12171,-206.126078,1,1
183.5478429,108.1026653,1,1
115.4273398,84.15631153,1,1
99.90401273,80.11642371,1,1
212.5834749,-123.6179049,1,1
155.6986274,233.7747754,1,1
97.80610282,111.9090624,1,1
-73.45490209,134.934984,1,1
136.2627341,-233.8139377,1,1
125.9123143,-82.80434727,1,1
170.7101046,-93.58325499,1,1
-89.73082797,-87.38062379,1,1
172.965224,238.9460184,1,1
-244.416803,143.3414389,1,1
87.91532313,-150.1559372,1,1
-67.9823309,146.3360499,1,1
-198.8742942,-100.5941717,1,1
136.5198407,166.4181735,1,1
135.7820163,-180.8209226,1,1
-209.054257,136.8468043,1,1
-217.6579895,-152.8079351,1,1
-154.9485277,-241.5369341,1,1
-156.703302,-183.5126059,1,1
-137.5758939,188.8974329,1,1
-95.53376453,-108.8007172,1,1
136.5012618,91.48994731,1,1
-132.0910032,-217.8004798,1,1
-167.3129435,240.8284718,1,1
-230.4358395,117.6006292,1,1
207.2696555,161.8830979,1,1
164.954898,182.7884378,1,1
172.5361227,-59.49096035,1,1
-90.7969632,-112.2806954,1,1
213.1164306,-196.9910181,1,1
151.4834321,-131.9022775,1,1
-124.8765886,-98.23597583,1,1
105.1286205,-149.7250195,1,1
73.62688344,182.2411681,1,1
232.1752791,173.7541467,1,1
149.3522087,246.2172234,1,1
-108.7690156,-206.7640254,1,1
120.3773602,207.2706233,1,1
-153.7301342,154.1602038,1,1
-115.9351319,118.9575967,1,1
151.113385,-151.5665309,1,1
-218.1386477,-138.9928187,1,1
-165.2182123,-139.1673352,1,1
73.38081533,142.623664,1,1
-211.0894995,-153.2821455,1,1
-156.9289506,-204.997239,1,1
118.6038294,223.9410445,1,1
-140.9876489,-216.7724623,1,1
144.2455944,149.3017919,1,1
-225.0137769,200.353881,1,1
-137.0596768,-86.70127064,1,1
-196.1294085,136.7237511,1,1
115.8692781,-194.4040048,1,1
-87.4575489,147.4307726,1,1
-165.4549817,-134.3441491,1,1
101.1119514,-78.72055298,1,1
183.3703671,146.068741,1,1
